"","util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes","inadimplente"
"33",0.001496395,43,4,0.492458005,5833,8,1,1,3,0,1
"34",0.525306395,36,0,0.127467105,4863,6,0,0,0,3,0
"35",0.186146156,31,0,0.532410244,8160,7,0,2,0,0,0
"36",0.196758683,74,0,2835,NA,8,0,3,0,0,0
"37",0.022846024,67,0,0.075768614,6862,7,0,1,0,0,0
"38",0.457100576,63,0,4945,NA,9,0,1,0,0,0
"39",0,62,0,1565,NA,4,0,1,0,0,0
"40",0.107923781,46,0,0.343041203,7450,14,0,2,0,1,0
"41",0.188842147,57,0,1243,NA,6,0,1,0,0,0
"42",0.071393361,72,0,1221,NA,8,0,1,0,0,0
"43",0.009057006,69,0,6,NA,4,0,0,0,0,0
"44",0.190081662,67,0,0.075886843,4453,8,0,0,0,0,0
"45",0.713313484,50,0,2104,NA,4,0,1,0,0,0
"46",0.026774331,49,0,0.128515425,5866,3,0,1,0,0,0
"47",0.188517566,62,3,0.817720351,6500,16,0,3,2,0,1
"48",0.9999999,34,1,0.091191174,5800,4,0,0,0,4,1
"49",0,59,1,0.223186265,5416,6,0,1,0,1,0
"50",0.165751474,46,0,0.109831235,3732,4,0,0,0,0,0
"51",0.016674508,55,0,1.403544649,4400,19,0,2,0,0,0
"52",0.44596953,54,0,1634,NA,11,0,1,0,0,0
"53",0.026803597,73,0,56,NA,11,0,0,0,0,0
"54",0.022933674,49,0,0.300528031,8900,8,0,2,0,0,0
"55",0.054887623,53,0,0.142308615,4166,16,0,0,0,0,0
"56",0.000113819,83,0,0.17657082,4694,8,0,1,0,0,0
"57",0.093429188,34,0,2.527472527,1000,8,0,2,0,0,0
"58",0.079321709,65,0,0.022127433,3750,3,0,0,0,0,0
"59",0.040244363,72,2,0.274416226,5866,17,0,2,0,1,0
"60",0.009140716,79,0,0.027105088,4500,11,0,0,0,0,0
"61",0.010217705,84,0,0.003331113,3001,5,0,0,0,1,0
"62",0.686515026,71,0,0.309281786,6000,11,0,0,0,1,0
"63",0.066789741,56,0,0.037913507,12000,4,0,1,0,1,0
"64",0.9999999,41,0,0,NA,0,0,0,0,0,1
"65",0.626981331,45,2,5338,NA,7,0,1,0,0,1
"66",0.014022029,65,0,1795,NA,9,0,1,0,NA,0
"67",0.011713951,54,0,0.181363699,7200,6,0,0,0,0,0
"68",0.9999999,57,0,0,NA,0,0,0,0,NA,1
"69",0.182710086,50,0,0.028994201,5000,15,0,0,0,0,0
"70",0.022794657,49,0,0.879109226,6600,15,0,5,0,2,1
"71",0.058241061,88,0,36,NA,3,0,0,0,NA,0
"72",0.200242796,79,0,0.256200281,4273,6,0,0,0,0,0
"73",0.9999999,48,0,0.539697354,15000,12,0,5,0,0,1
"74",0.179847652,37,0,0.029359859,6232,3,0,0,0,0,0
"75",0.06181292,59,1,0.528624767,3213,17,0,1,0,0,0
"76",0.719017413,55,0,0.244023083,10916,9,0,2,0,1,0
"77",0.952488964,47,0,0.340406402,5560,10,0,0,0,3,1
"78",1.005712654,23,1,1092,NA,7,0,0,0,0,1
"79",0.014271373,56,0,0.404897245,6860,6,0,1,0,2,0
"80",0.59045152,54,1,1267,0,7,0,1,0,1,0
"81",0.19381766,37,2,0.195315252,5677,8,0,1,0,0,1
"82",0.05168249,69,0,0.007358953,3668,5,0,0,0,0,0
"83",0.003363534,52,0,0.000586396,5115,4,0,0,0,0,0
"84",0.006739541,76,0,0.148370326,5000,6,0,1,0,0,0
"85",0.851882962,46,1,0.378373889,12040,13,0,2,0,1,1
"86",0.242150295,76,0,0.830939227,2714,21,0,1,0,0,0
"87",0.024576473,70,0,0.19477403,7500,12,0,1,0,2,0
"88",0.9999999,67,0,2247,NA,4,0,1,0,0,0
"89",0.296724621,56,0,0.384670487,5583,13,0,2,0,1,0
"90",0.028210996,37,0,44,NA,3,0,0,0,0,0
"91",0.205034718,51,0,0.407417507,11000,8,0,3,0,1,0
"92",0.244197674,43,0,2.350824588,1333,4,0,1,0,2,0
"93",0.599407992,63,8,0.427367519,7000,13,6,2,3,0,1
"94",0.005627802,79,0,0.232602845,2600,15,0,0,0,0,0
"95",0.60369641,43,1,0.408397901,4000,5,0,1,0,3,1
"96",0.043186305,45,0,0.171342862,5666,8,0,1,0,3,0
"97",0.878372311,38,0,0.277268761,4583,9,0,0,0,1,1
"98",0.058941059,28,0,0.080894383,5500,4,0,0,0,0,0
"99",0.8732507,44,0,0.021000763,51140,7,2,1,0,3,1
"100",0.417290176,48,1,20.55896069,1500,23,0,8,0,2,1
"101",0.592819985,43,0,0.20584706,9166,7,0,1,0,2,0
"102",0.066286816,58,0,1207,NA,8,0,0,0,0,0
"103",0.000449978,80,0,0,6500,5,0,0,0,0,0
"104",0.03552937,25,0,0.0009998,5000,2,0,0,0,0,0
"105",0.9999999,40,0,424,NA,3,0,0,0,NA,1
"106",0.859114089,52,0,0.160946351,3000,2,0,0,0,0,1
"107",0.113051593,27,0,0.131024634,2800,9,0,0,0,0,0
"108",0.641376268,28,1,0.160811197,3500,5,1,0,0,0,1
"109",0.6356961,59,0,0.252866478,8110,9,0,1,0,0,0
"110",0.183095507,45,0,0.79128727,5600,11,0,2,0,1,0
"111",0.347330534,23,0,0.094502499,2200,3,0,0,0,0,0
"112",0.520300666,62,0,2578,NA,19,0,1,0,0,0
"113",0.529129824,64,1,0.713090909,2749,10,0,0,0,0,1
"114",0,45,0,0,5200,1,0,0,0,2,0
"115",0.002777623,90,0,0.076510446,7083,9,0,0,0,0,0
"116",0,43,0,0,2300,8,0,0,0,1,0
"117",0.091717813,64,0,739,NA,4,0,0,0,0,0
"118",0,43,0,0.197057278,5708,3,0,1,0,2,0
"119",0.012008,51,0,0.0031956,13455,10,0,0,0,1,0
"120",0,63,0,14,NA,5,0,0,0,NA,0
"121",1.0499002,26,0,0.073219505,6500,6,0,0,1,0,1
"122",0.566577567,37,1,0.302608294,12996,9,0,1,0,4,1
"123",0.32743763,83,0,0.382808596,2000,10,0,0,0,0,0
"124",0.040339651,63,1,1704,NA,9,0,2,0,0,0
"125",0.011770756,89,0,0.001470156,3400,4,0,0,0,0,0
"126",0.035565408,50,0,0.497233518,15000,9,0,4,0,2,0
"127",0.970388412,40,0,0.391001607,5600,5,0,1,0,1,1
"128",0.015805942,50,0,0.149314482,4667,5,0,1,0,2,0
"129",0.193265993,49,0,0.11572107,4000,5,0,1,0,2,0
"130",0.045926651,63,0,0.023990404,2500,11,0,0,0,0,0
"131",0.070572099,47,0,2130,NA,4,0,1,0,0,0
"132",0,45,1,0.374666158,10483,17,0,3,0,0,0
"133",0.370555219,51,0,2761,NA,12,0,2,0,2,0
"134",0,62,0,0,NA,4,0,0,0,0,0
"135",0.04495646,63,0,0.15240501,9500,4,0,1,0,0,0
"136",0.310439069,60,4,2950,NA,12,0,2,0,0,1
"137",0.9999999,39,98,0,NA,0,98,0,98,0,1
"138",0.303717749,54,0,0.66953624,3600,11,0,1,0,0,0
"139",0.012247902,64,0,0.001406206,32000,3,0,0,0,0,0
"140",0.831026048,43,0,0.126973311,8804,13,0,0,0,0,1
"141",0.156464409,45,0,1986,NA,17,0,3,0,0,0
"142",0,38,1,0.915060671,1400,3,1,1,0,2,1
"143",0.00999001,43,0,197,NA,2,0,0,0,2,0
"144",0.549776335,43,0,0.477002706,8500,7,0,2,0,2,0
"145",0.017651972,53,0,0.26843204,9100,6,0,1,0,0,0
"146",0.065688636,50,0,0.264957265,3626,6,0,1,0,1,0
"147",0,38,0,0.382313882,12800,11,0,4,0,0,0
"148",0.135371075,57,0,0.408368326,6667,15,0,1,0,0,0
"149",0.014166286,74,0,0.213451216,6333,12,0,1,0,0,0
"150",0.094190527,31,0,218,NA,7,0,0,0,0,0
"151",0.9999999,35,0,1782,NA,3,0,2,0,0,1
"152",0.066052985,56,0,1625,NA,6,0,1,0,0,0
"153",0.021607816,52,0,0.395023328,4500,11,0,1,0,2,0
"154",0.182724252,39,0,0.129934841,2608,5,0,0,0,2,0
"155",0.24652915,109,0,318,NA,3,0,0,0,NA,0
"156",0.093200479,50,0,0.579488644,7000,12,0,4,0,0,0
"157",0.180525106,46,0,0.084591541,10000,2,0,0,0,0,0
"158",0.167304475,54,0,0.595895817,3800,5,0,1,0,1,0
"159",0.975839717,39,0,2710.5,1,9,0,1,0,0,0
"160",0.9999999,43,0,1247,NA,1,0,0,0,0,1
"161",0.359477533,37,0,0.44951712,6833,5,0,2,0,2,0
"162",0,64,0,0.036351098,30452,2,0,0,0,0,0
"163",0.56839682,49,0,0.295764869,4320,9,0,1,0,1,0
"164",0.098465124,40,0,0.25814837,5000,9,0,1,0,3,0
"165",0.895215021,54,3,1514,NA,7,0,1,0,0,1
"166",0.595666278,69,0,0.189719049,6477,11,0,1,0,1,0
"167",0.004422608,80,0,17,NA,7,0,0,0,0,0
"168",0.288213073,54,0,0.320421821,4930,8,0,1,0,0,0
"169",0.024022958,44,0,0.369784565,3666,9,0,2,0,0,0
"170",0,78,0,0,NA,6,0,0,0,0,0
"171",0.026509663,39,0,0.191174731,8452,13,0,3,0,1,0
"172",0.206482964,45,0,0.463670127,10500,12,0,2,0,1,0
"173",0.017064599,75,0,639,NA,7,0,1,0,0,0
"174",0.04481627,59,0,0.223185121,15000,16,0,1,0,0,0
"175",0.235528942,45,1,0.075083893,2383,3,1,0,1,0,1
"176",0.018292846,49,0,0.28651351,8400,6,0,2,0,2,0
"177",0.087607619,45,0,0.374099047,4300,8,0,1,0,2,0
"178",0.020805188,44,0,0.897102897,1000,5,0,1,0,0,0
"179",1.00239952,42,1,0.299350325,2000,5,0,1,2,0,1
"180",0.012537002,68,0,0.00129987,10000,8,0,0,0,1,0
"181",0.005512644,62,0,0.952698201,1500,10,0,2,0,2,0
"182",0.613576566,32,2,0.057191233,10630,9,0,0,0,0,1
"183",0.219654499,63,1,3511,NA,12,0,2,0,0,0
"184",0.133686631,25,0,0.009359251,4166,2,0,0,0,0,0
"185",0.406985488,39,1,0.4822962,8500,11,0,2,0,1,1
"186",0.232407601,33,1,0.275303644,2716,7,0,0,0,0,1
"187",0.003250984,76,0,0.103112111,2666,7,0,0,0,0,0
"188",0.231598459,57,0,0.048652776,9166,3,0,0,0,0,0
"189",0.056999416,62,0,0.116106135,17750,18,0,1,0,3,0
"190",0.589528305,59,0,0.303756917,10300,7,0,1,0,0,0
"191",0.067784239,64,0,2148,NA,6,0,1,0,0,0
"192",0.9999999,39,0,0.070981917,5916,4,0,0,0,2,1
"193",0.974471589,44,0,1293.5,1,6,0,0,0,2,0
"194",0.960856616,56,1,0.248805586,2720,10,1,0,0,1,1
"195",0.9999999,79,0,0,NA,0,0,0,0,NA,0
"196",0.060912152,40,0,0.010618364,1600,4,0,0,0,0,0
"197",0.543800604,59,0,0.669475789,7000,16,0,1,0,2,0
"198",0.457439022,50,0,0.456851885,5596,7,0,1,0,0,0
"199",0.435939102,60,0,0.551185941,8136,11,0,2,0,1,0
"200",0.859196167,51,2,0.142791724,24020,13,1,2,4,1,1
"201",0.173771186,51,1,0.038214186,10728,11,0,0,0,2,0
"202",0.246758441,72,0,0.147159647,4083,3,0,1,0,2,0
"203",0.05880047,27,0,0.065837601,4100,6,1,1,0,1,1
"204",0.890994063,46,0,0.435557957,3700,6,0,0,0,3,1
"205",0.025914337,63,0,1130,NA,17,0,1,0,0,0
"206",0.547659012,42,0,0.21193267,18000,9,0,2,0,3,0
"207",0.067296896,66,1,0.153105862,8000,25,0,0,1,0,1
"208",0.074727011,73,0,0.030564884,26500,11,0,1,0,0,0
"209",0.013692447,51,0,454,NA,6,0,1,0,0,0
"210",0.073382734,49,0,0.338728874,4200,15,1,2,0,0,1
"211",0.017837002,82,0,0.677147239,2607,11,0,1,0,0,0
"212",0.9999999,46,1,0,2000,1,0,0,0,0,1
"213",0.334188969,37,0,0.742106816,6777,14,0,2,0,1,0
"214",0.005666457,27,0,523,NA,4,0,0,0,NA,0
"215",0.13299659,55,0,2686,NA,7,0,2,0,0,0
"216",0.012595209,63,0,533,NA,5,0,1,0,NA,0
"217",0.041763122,78,0,0.04199664,4166,7,0,1,0,0,0
"218",0.026231338,63,0,0.1807896,4153,6,0,0,0,0,0
"219",0.902209779,33,0,0.547390522,3333,5,0,1,0,0,1
"220",0.591081784,39,1,0.460272873,4983,6,0,1,0,3,1
"221",0.053075411,47,0,0.381402066,9000,5,0,1,0,4,0
"222",0.25853729,54,1,803,NA,15,0,0,1,NA,1
"223",0.099614267,82,0,0.018121547,9049,6,0,0,0,0,0
"224",0.019853938,37,2,0.452934662,5417,15,0,2,0,2,1
"225",0.460357801,52,0,2690,NA,14,0,2,0,0,0
"226",0,43,0,0.262179026,8333,9,0,2,0,2,0
"227",0.833817523,52,3,1775,NA,9,1,0,0,1,1
"228",0.029569658,53,1,0.105787395,5822,13,0,0,0,1,0
"229",0.215235049,41,0,0.165489163,8350,11,0,1,0,0,0
"230",0.411171434,42,0,0.550064277,7000,10,0,2,0,2,0
"231",0.076162047,53,0,0.130772893,6300,6,0,1,0,2,0
"232",0.29814085,40,0,0.232157734,3600,7,0,0,0,2,0
"233",0.206605648,47,0,0.310709479,5200,6,0,1,0,2,0
"234",0.245823389,44,1,0.12386778,8500,4,0,0,0,4,1
"235",0.9999999,35,0,0.105489451,10000,4,1,1,0,3,1
"236",0.003585871,72,0,0.010643524,6106,10,0,0,0,0,0
"237",0.076671092,60,0,0.095836855,9463,4,0,1,0,2,0
"238",0,77,0,0,3523,3,0,0,0,0,0
"239",0.547211731,34,0,0.175431303,4810,8,1,0,0,1,1
"240",0,80,0,0,NA,3,0,0,0,0,0
"241",0.008934588,61,0,965,NA,5,0,1,0,0,0
"242",0.346610558,54,1,1725,NA,6,0,1,0,0,1
"243",0.9999999,47,0,0,NA,0,0,0,0,NA,1
"244",0.00282216,67,0,1449,NA,7,0,1,0,NA,0
"245",0.023899602,64,0,0.321085888,4272,10,0,1,0,0,0
"246",0.101386246,71,0,0.064100059,5116,7,0,0,0,0,0
"247",0.021529081,56,0,0.009141551,7000,10,0,0,0,3,0
"248",0.056129591,66,0,0.426801802,887,6,0,0,0,0,0
"249",0.507256748,76,0,828,NA,3,0,0,0,0,0
"250",0,50,0,272,NA,8,0,0,0,0,0
"251",0.016934414,76,0,0.381845302,4692,19,0,1,0,1,0
"252",0.561234083,29,0,0.142102616,3975,5,0,0,0,0,0
"253",0.371964912,48,0,0.588068655,6000,11,0,1,0,2,0
"254",0.268379729,25,0,17,NA,4,0,0,0,NA,0
"255",0.307807683,34,0,0.118822876,1800,8,0,0,0,0,0
"256",0.965968344,40,0,0.577979206,3750,9,0,0,0,0,1
"257",0.063018372,68,0,0.274207369,3500,5,0,0,0,0,0
"258",0,51,2,0,12500,4,0,0,0,0,0
"259",0.9999999,23,0,0.208992506,1200,1,0,0,0,0,1
"260",0.066146693,54,0,0.130836297,17433,4,0,2,0,1,0
"261",0.766946087,45,0,0.058761249,17000,6,0,0,0,3,0
"262",0.099152137,68,0,0.259352084,10772,6,0,1,0,2,0
"263",0.181689952,56,0,0.160707143,12500,20,0,1,0,0,0
"264",0.08617142,47,0,0.379941547,6500,15,0,3,0,2,0
"265",0.014362984,38,0,0.298136149,12500,6,0,2,0,3,0
"266",0.304739052,57,4,0.365713587,8183,9,0,1,0,1,1
"267",0.12344773,63,0,0.072428648,7427,8,0,0,0,1,0
"268",0.571527353,77,1,0.973491258,1772,11,0,0,0,0,1
"269",0.115483365,37,0,0.280658938,4916,5,0,1,0,2,0
"270",0.668308581,46,0,0.49310138,5000,5,0,1,0,0,0
"271",0.794212219,53,0,0.433985839,2400,5,2,1,0,0,1
"272",0.563864244,50,0,0.115525632,15000,9,0,1,0,1,0
"273",0.291253534,38,0,0.284709853,10666,7,0,1,0,2,0
"274",0.234482919,52,0,0.471505699,5000,14,0,0,0,0,0
"275",0.082461456,54,0,0.886868687,2474,10,0,2,0,0,0
"276",0.684769702,77,3,0.479813665,10303,16,3,2,0,1,1
"277",0.017506332,44,1,0.286936561,9583,8,0,1,0,0,0
"278",0,54,0,0.261412487,4884,12,1,1,1,1,1
"279",0.443547022,41,0,1779,NA,6,0,1,0,0,0
"280",0.283271754,57,0,0.495036544,9166,21,0,2,0,0,0
"281",0.384871781,37,0,0.638788585,8584,15,0,2,0,0,0
"282",0.174751171,41,1,0.194450197,4828,7,0,0,0,2,0
"283",0,51,0,0.703029697,10000,20,0,3,0,3,0
"284",0,42,0,467,NA,2,0,0,0,0,0
"285",0.991152514,60,0,0.789339698,6284,7,0,2,0,3,0
"286",1.010366531,78,2,0.463752334,12855,10,0,1,1,0,1
"287",0.07920536,47,0,0.411817853,5533,11,0,2,0,1,0
"288",0.024719011,51,0,0.007197121,2500,3,0,0,0,0,0
"289",0.079803877,59,0,0.246225506,12451,14,0,2,0,0,0
"290",0.059179389,56,0,0.014182344,3454,4,0,0,0,0,0
"291",0.214589891,75,0,657,NA,1,0,0,0,0,0
"292",0.014577962,63,0,983,NA,7,0,1,0,0,0
"293",0.099764127,38,0,0.227337942,7666,9,0,1,0,0,0
"294",0.082763908,48,0,0.275878488,10500,8,0,2,0,0,0
"295",0.9999999,23,0,0,800,0,0,0,0,0,0
"296",0.767446511,35,0,0.113396173,3500,2,0,0,0,2,1
"297",0.042847048,66,0,0.63327674,5300,14,0,2,0,0,0
"298",0.053434037,41,0,0.452203824,12500,7,0,2,0,2,0
"299",0.080083629,77,0,32,NA,5,0,0,0,0,0
"300",0.06004476,70,0,0.441082803,3139,6,0,1,0,0,0
"301",0,66,0,0.722177311,3710,5,0,3,0,1,0
"302",0,46,0,0.138976837,6000,6,0,1,0,2,0
"303",0.768519514,50,0,0.511581614,5525,6,0,1,0,3,0
"304",0.397362608,35,1,0.978104379,3333,17,0,1,0,2,1
"305",0.009465405,59,1,0.275890099,6150,4,0,1,0,1,0
"306",0.176125506,74,0,283,NA,4,0,0,0,0,0
"307",0.07313241,27,0,0.173884077,1500,7,0,0,0,0,0
"308",0.185666958,41,0,0.251218598,8000,11,0,2,0,1,0
"309",0.143985601,40,0,1971,NA,5,0,1,0,0,0
"310",0.069094032,61,0,0.209754194,12814,7,0,1,0,1,0
"311",0,43,0,1221,NA,8,0,1,0,NA,0
"312",0.721986227,45,0,1.798695247,2145,12,0,3,0,2,1
"313",0.032748363,88,0,1373,0,2,0,1,0,0,0
"314",1.092301238,38,4,0.882389701,8000,14,1,2,0,1,1
"315",0.047483914,67,0,0.308350622,3855,12,0,1,0,0,0
"316",0.457405679,28,0,0.070686071,1442,2,0,0,0,0,0
"317",0.037713208,77,0,0.009497626,4000,3,0,0,0,0,0
"318",0.799180612,65,0,0.286510912,10400,5,0,1,0,2,0
"319",0.35097686,35,0,1.594189316,3200,7,0,1,0,0,0
"320",0.788686723,24,0,0.331334333,2000,6,0,0,0,0,1
"321",0.184134509,53,0,0.605944607,4440,10,0,3,0,1,0
"322",0.9999999,60,0,0.198521647,10416,4,2,1,0,2,1
"323",0.071795214,42,0,1586,NA,4,0,2,0,NA,0
"324",0.169951252,47,0,122,NA,2,0,0,0,3,0
"325",0.025084882,56,1,0.618038196,10000,14,0,5,0,0,0
"326",0.244349718,64,0,1.225050916,981,13,0,1,0,0,0
"327",1.107892108,21,0,0.008247938,4000,2,0,0,0,0,1
"328",0.852213505,64,0,0.544367644,5352,8,0,1,0,0,0
"329",0.9999999,53,0,0.438943109,4200,8,0,1,0,0,0
"330",0.074555164,41,0,0.252650634,11600,6,0,1,0,1,0
"331",0.9999999,59,0,0.41023622,2539,4,0,0,0,0,1
"332",0.179371097,88,0,3.077448747,1316,13,0,0,0,0,0
"333",0.033154082,51,1,0.357944932,6500,10,0,1,0,3,0
"334",0.034332618,35,0,0.289311091,6473,10,0,2,0,0,0
"335",0.01790529,60,0,3527,NA,12,0,2,0,0,0
"336",0.035998925,49,0,36,NA,3,0,0,0,2,0
"337",0.025216706,76,0,0.013994402,2500,4,0,0,0,0,0
"338",0,43,0,0.519668338,5185,8,0,1,0,0,0
"339",0.022288912,65,0,0.368926215,5000,13,0,1,0,0,0
"340",0.987940125,61,2,0.149522328,4500,4,0,0,0,0,1
"341",0.012865069,72,0,0.00239904,2500,1,0,0,0,0,0
"342",0.061115648,83,0,0.056766346,1972,9,0,0,0,0,0
"343",0.013021933,63,0,0.291536278,13740,7,0,2,0,1,0
"344",0.021163659,61,0,0.412627369,10500,11,0,2,0,0,0
"345",1.03998334,27,2,0.434969854,1160,4,0,0,0,0,1
"346",0.9999999,24,0,0.61298377,800,1,0,0,0,0,0
"347",0.9999999,38,1,0.186271243,3000,0,2,0,0,2,1
"348",0.056897079,63,5,5057,NA,5,0,2,0,0,1
"349",0,46,1,0.269487009,3001,2,0,1,0,0,0
"350",0.569553881,39,3,0.322425659,7700,8,0,1,0,5,1
"351",0.517790621,62,1,0.48161885,9166,11,0,2,0,0,1
"352",0,38,0,0.091127314,44574,7,0,1,0,3,0
"353",0.007249819,44,0,0.220163723,9283,6,0,1,0,1,0
"354",0,76,0,0.62063228,600,5,0,0,0,0,0
"355",0.931213757,64,0,0.348089172,3139,5,0,1,0,0,0
"356",0.004945383,27,0,0.414634146,2500,8,0,1,0,0,0
"357",0.655196588,48,0,0.588702234,10833,16,0,2,0,3,1
"358",0.9999999,31,1,0.678390749,4150,3,2,3,3,1,1
"359",0.01259937,47,0,0.283300018,5502,7,0,1,0,0,0
"360",0.035703734,81,0,46,NA,2,0,0,0,0,0
"361",0.718204489,66,1,0.482335689,7500,4,0,1,0,0,1
"362",0.013655024,74,0,0.082608696,10119,14,0,1,0,0,0
"363",0.00215378,69,1,0.345187002,1630,12,0,1,0,0,0
"364",0.277032266,44,0,0.612191025,4166,9,0,1,0,0,0
"365",0.688631487,62,2,0.0896048,23000,13,0,0,0,0,0
"366",0.100017475,48,0,0.12125675,6110,9,0,0,0,2,0
"367",0.016161616,50,0,0.023809524,125,4,0,0,0,1,0
"368",0.292090185,75,0,0.519688753,4240,10,0,1,0,0,0
"369",0.024674383,49,0,0.017028773,1702,3,0,0,0,0,0
"370",0.436167269,45,0,2967.5,1,15,0,1,0,2,0
"371",0.451192902,58,0,0.726054789,5000,8,0,3,0,0,0
"372",0.312971371,44,0,0.927913707,3800,18,0,2,0,0,0
"373",0.156944907,52,4,0.346331709,8000,9,0,4,0,2,1
"374",0.300336333,50,0,0.641199572,2800,5,0,1,0,0,0
"375",0.347879761,34,0,0.027035674,6250,6,0,0,0,2,0
"376",0.906690592,36,0,1126,NA,4,0,1,0,0,1
"377",0.00050238,38,0,0.173270089,3583,10,0,0,0,0,0
"378",0.01408411,55,0,0.820043892,4100,13,0,1,0,3,0
"379",0.323400005,57,0,0.270746644,25473,18,0,2,0,1,0
"380",0.000886898,48,1,0.142222222,2924,4,0,1,0,0,0
"381",0.38654265,70,0,0.626710713,4237,6,0,1,0,0,0
"382",0.091130531,33,0,0.512090038,11372,12,0,6,0,0,1
"383",0.061926812,47,0,0.475836018,9000,14,0,2,0,0,0
"384",0.132941043,60,0,1.232781377,4166,17,0,1,0,3,0
"385",0.9999999,27,0,0.470725995,1280,3,2,0,1,0,1
"386",0.9999999,38,1,1230,NA,2,0,1,1,0,1
"387",0.170832825,32,0,213,NA,6,0,0,0,0,0
"388",0.020543587,48,0,0.176196809,9023,5,0,1,0,2,0
"389",0,39,0,0.434932042,6400,5,0,1,0,2,0
"390",0.023827898,62,0,0.040356299,5500,10,0,1,0,1,0
"391",0.748757559,48,0,0.192510453,5500,2,0,0,0,0,0
"392",1.070619587,23,0,0.058465286,820,2,0,0,0,0,1
"393",0.014282669,59,0,0.166305616,6000,10,0,1,0,0,0
"394",0.128524765,44,0,0.396700412,2666,5,0,0,0,0,0
"395",0.019522578,62,0,0.258185454,4000,15,0,2,0,0,0
"396",0,67,0,0,5000,8,0,0,0,0,0
"397",0.009038288,65,0,0.296901033,3000,10,0,0,0,0,0
"398",0.9999999,50,0,0.000302939,3300,1,0,0,0,0,1
"399",0.051765249,66,0,48,NA,1,0,0,0,0,0
"400",0.174857131,69,0,0.249880326,6266,18,0,2,0,0,0
"401",0.08562393,45,0,0.216536426,11900,4,0,1,0,0,0
"402",0.667907711,59,1,0.414101909,45000,17,0,4,0,3,0
"403",0.546554078,67,3,0.910272432,4000,16,0,2,0,0,1
"404",0.9999999,41,0,0.030890988,3916,0,1,0,0,3,1
"405",0.061439003,55,0,0.199156199,10428,7,0,1,0,0,0
"406",0.257896293,52,0,0.485813614,8916,5,0,2,0,2,0
"407",0.215889206,53,0,0.421810425,7500,11,0,1,0,2,0
"408",0.337558869,64,0,2870,NA,9,0,1,0,0,0
"409",0.9999999,62,0,3046,NA,4,0,1,0,0,0
"410",0.118794604,59,0,1.383004047,4200,24,0,5,0,0,1
"411",0.583616008,55,0,0.41433121,3139,3,0,1,0,0,0
"412",0.033398664,63,0,28,NA,9,0,0,0,0,0
"413",0.891310869,43,0,0.329608281,8500,8,0,1,0,1,0
"414",0.132341446,27,0,0.063640049,7400,16,0,0,0,0,0
"415",0.013142254,64,0,1390,NA,7,0,1,0,0,0
"416",0.053624822,51,0,32,NA,1,0,0,0,0,0
"417",0.126445417,67,0,0.286080878,11300,8,0,3,0,1,0
